CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR1	NLOS	15.82	1.88	19.60	2.51	1.79
CIR2	NLOS	34.79	2.13	60.10	4.37	4.54
CIR3	NLOS	39.76	2.02	6.33	4.23	78.45
CIR4	NLOS	23.50	1.30	5.83	2.39	67.99
CIR5	NLOS	28.19	4.28	3.76	1.55	5.24
CIR6	NLOS	67.38	2.87	32.93	2.44	21.61
CIR7	NLOS	22.87	1.84	60.76	1.58	5.00
CIR8	NLOS	38.41	2.17	3.67	3.90	5.60
CIR9	NLOS	46.41	3.99	72.00	3.58	46.95
CIR10	NLOS	31.68	3.90	65.67	2.22	5.40
