CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR1	LOS	14.40	2.23	69.22	4.79	7.99
CIR2	LOS	17.04	5.91	79.56	9.09	47.39
CIR3	LOS	15.58	0.90	12.12	0.89	11.44
CIR4	LOS	21.34	2.37	75.44	10.29	75.76
CIR5	LOS	1.32	1.44	4.22	9.84	56.27
CIR6	LOS	13.31	9.58	63.05	11.54	8.31
CIR7	LOS	15.13	2.13	5.00	8.29	11.36
CIR8	LOS	2.97	0.77	73.36	23.66	25.52
CIR9	LOS	23.72	7.92	63.05	17.99	84.27
CIR10	LOS	13.66	2.14	9.68	11.77	12.76
CIR11	LOS	19.37	3.17	5.78	8.54	9.71
CIR12	LOS	16.25	2.38	4.30	4.98	47.33
CIR13	LOS	7.52	2.49	71.59	9.66	61.14
CIR14	LOS	9.32	2.39	9.40	13.12	5.33
CIR15	LOS	20.48	1.59	5.87	8.11	37.73
CIR16	LOS	16.82	2.19	6.02	9.54	53.16
CIR17	LOS	23.85	2.76	5.35	5.09	63.69
CIR18	LOS	14.36	2.53	8.17	6.73	4.75
CIR19	LOS	17.98	5.39	75.34	10.45	7.07
CIR20	LOS	18.14	1.69	5.87	7.28	18.30
