CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR86	NLOS	30.06	2.01	12.87	7.67	82.47
CIR87	NLOS	32.64	3.16	9.18	7.63	5.18
CIR88	NLOS	31.58	2.29	50.83	4.62	35.59
CIR89	NLOS	23.58	2.89	12.62	4.51	3.85
CIR90	NLOS	31.99	2.35	69.16	7.41	5.16
CIR91	NLOS	15.90	2.18	5.22	6.55	59.22
CIR92	NLOS	16.74	2.65	9.46	7.65	5.97
CIR93	NLOS	39.48	2.63	7.51	1.15	3.31
CIR94	NLOS	38.21	4.25	13.67	7.68	66.71
CIR95	NLOS	23.58	1.93	11.21	3.24	8.60
CIR96	NLOS	23.01	2.37	7.12	1.36	6.97
CIR97	NLOS	17.01	2.51	9.42	1.78	34.37
CIR98	NLOS	14.77	1.72	54.12	3.52	74.11
CIR99	NLOS	32.40	2.01	12.04	7.01	77.99
CIR100	NLOS	14.29	5.67	45.15	2.76	5.35
