CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR1	LOS	13.40	2.22	25.96	5.89	60.20
CIR2	LOS	18.03	8.43	50.21	10.69	74.15
CIR3	LOS	15.96	7.54	41.36	28.14	7.76
CIR4	LOS	10.75	0.89	4.23	4.43	26.12
CIR5	LOS	8.13	4.25	28.78	8.87	4.67
CIR6	LOS	18.12	1.89	8.84	8.81	66.91
CIR7	LOS	19.96	6.18	86.84	8.54	89.74
CIR8	LOS	19.06	2.71	89.40	14.09	4.91
CIR9	LOS	17.08	7.24	47.85	8.16	73.31
CIR10	LOS	10.88	2.75	8.33	6.71	13.62
CIR11	LOS	18.20	5.98	85.77	13.28	85.85
CIR12	LOS	17.10	1.80	8.61	10.10	66.76
CIR13	LOS	15.79	2.09	4.79	5.26	75.09
CIR14	LOS	17.66	2.51	52.09	6.24	69.74
CIR15	LOS	21.37	2.76	4.42	9.04	44.11
CIR16	LOS	16.26	1.59	7.89	8.71	20.02
CIR17	LOS	12.31	4.99	52.34	10.45	90.25
CIR18	LOS	10.47	1.56	10.02	5.26	36.69
CIR19	LOS	22.78	1.40	9.38	9.76	67.05
CIR20	LOS	11.94	0.44	3.03	3.37	0.67
CIR21	LOS	20.80	0.96	7.97	15.39	42.86
CIR22	LOS	21.79	2.53	4.04	7.62	55.07
CIR23	LOS	21.17	2.03	5.22	8.68	5.21
CIR24	LOS	24.87	1.74	6.62	7.55	5.25
CIR25	LOS	3.41	0.82	8.69	7.44	12.93
CIR26	NLOS	38.11	2.24	9.76	4.34	9.49
CIR27	NLOS	18.96	2.27	8.43	7.11	6.42
CIR28	NLOS	20.31	2.02	69.03	6.94	82.79
CIR29	NLOS	32.17	2.38	40.02	6.97	5.00
CIR30	NLOS	14.03	0.94	5.57	6.70	32.13
CIR31	NLOS	33.08	4.05	78.28	5.85	64.50
CIR32	NLOS	36.88	0.80	47.51	7.50	25.37
CIR33	NLOS	49.72	1.47	8.97	4.19	67.71
CIR34	NLOS	1.65	2.22	8.29	3.38	55.36
CIR35	NLOS	23.94	4.11	75.12	9.14	89.88
CIR36	NLOS	55.28	1.78	6.38	4.35	67.51
CIR37	NLOS	22.51	1.86	4.68	2.41	46.72
CIR38	NLOS	24.98	1.18	7.16	4.56	58.82
CIR39	NLOS	38.35	1.99	9.98	3.32	4.62
CIR40	NLOS	0.00	0.00	0.00	0.00	0.00
CIR41	NLOS	43.94	2.21	10.22	5.90	76.57
CIR42	NLOS	1.50	3.41	73.41	4.14	1.91
CIR43	NLOS	37.40	1.71	5.52	2.81	5.78
CIR44	NLOS	16.96	2.97	68.91	4.69	5.62
CIR45	NLOS	55.69	3.65	78.72	8.30	70.15
CIR46	NLOS	15.62	2.54	64.00	2.79	25.65
CIR47	NLOS	23.48	2.20	7.14	3.80	64.68
CIR48	NLOS	58.93	2.56	12.02	2.85	73.43
CIR49	NLOS	28.19	2.44	5.45	2.47	74.77
CIR50	NLOS	18.82	1.58	80.89	5.43	51.45
CIR51	NLOS	39.54	4.10	6.19	5.98	71.48
CIR52	NLOS	25.98	6.59	45.71	7.03	5.15
CIR53	NLOS	30.71	3.81	8.57	6.22	52.01
CIR54	NLOS	21.04	3.41	10.72	4.38	68.00
CIR55	NLOS	26.38	1.00	2.39	0.84	18.23
CIR56	NLOS	33.45	1.95	9.73	4.30	9.22
CIR57	NLOS	11.21	2.96	5.19	2.89	7.74
CIR58	NLOS	16.62	2.29	4.07	8.89	58.17
CIR59	NLOS	30.39	2.28	62.44	4.15	2.94
CIR60	NLOS	23.97	2.24	5.13	3.52	3.63
CIR61	NLOS	32.78	1.34	11.48	4.62	72.56
CIR62	NLOS	51.51	6.62	71.69	7.91	79.04
CIR63	NLOS	18.55	1.99	14.76	7.55	77.92
CIR64	NLOS	21.14	2.98	34.90	3.25	4.67
CIR65	NLOS	13.64	5.77	44.14	3.24	72.55
CIR66	NLOS	36.90	2.53	15.14	6.30	35.59
CIR67	NLOS	28.76	2.28	7.96	9.14	59.90
CIR68	NLOS	31.21	2.55	5.84	2.70	6.63
CIR69	NLOS	23.78	1.19	8.64	2.87	21.29
CIR70	NLOS	15.67	2.86	26.33	1.40	4.62
CIR71	NLOS	27.02	6.10	74.67	4.52	71.50
CIR72	NLOS	8.10	2.01	70.24	4.14	14.28
CIR73	NLOS	45.26	2.78	57.23	5.83	69.96
CIR74	NLOS	35.09	2.18	12.56	8.99	7.20
CIR75	NLOS	34.02	3.82	4.78	3.46	2.98
CIR76	NLOS	7.93	1.94	7.73	5.35	56.42
CIR77	NLOS	49.50	4.22	49.06	3.76	5.19
CIR78	NLOS	43.40	5.85	59.23	9.04	57.90
CIR79	NLOS	31.97	3.85	61.14	4.48	5.05
CIR80	NLOS	30.63	3.47	71.66	4.79	76.66
CIR81	NLOS	21.52	2.79	12.38	5.48	7.99
CIR82	NLOS	11.76	2.80	15.24	6.53	4.54
CIR83	NLOS	34.34	3.60	10.61	5.31	5.03
CIR84	NLOS	50.97	3.42	86.94	5.17	81.94
CIR85	NLOS	29.36	2.59	57.02	2.91	7.56
