CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR1	LOS	22.31	2.44	9.02	7.74	11.29
CIR2	LOS	12.62	3.44	35.66	13.58	53.39
CIR3	LOS	26.01	3.03	82.62	9.81	7.06
CIR4	LOS	22.64	2.16	6.97	12.40	85.51
CIR5	LOS	18.54	1.78	11.09	10.14	42.08
CIR6	LOS	14.81	1.68	35.19	14.35	53.17
CIR7	LOS	15.54	2.08	21.57	6.08	8.19
CIR8	LOS	21.28	2.95	84.34	9.39	60.05
CIR9	LOS	19.25	1.98	9.24	10.39	19.10
CIR10	LOS	18.85	4.02	17.83	14.70	88.28
CIR11	LOS	13.96	4.99	68.85	7.68	8.71
CIR12	LOS	23.12	5.10	62.53	12.69	16.42
CIR13	LOS	15.09	1.60	8.71	16.13	5.41
CIR14	LOS	15.74	1.48	4.12	5.84	5.44
CIR15	LOS	20.47	2.50	29.92	11.50	58.11
CIR16	LOS	15.53	2.47	5.18	7.41	56.78
CIR17	LOS	21.52	5.46	42.65	10.57	26.77
CIR18	LOS	22.26	2.41	22.59	6.36	3.41
CIR19	LOS	22.22	2.05	10.38	5.22	9.84
CIR20	LOS	18.09	4.83	65.08	6.37	20.66
CIR21	LOS	20.77	1.39	5.59	12.04	73.48
CIR22	LOS	15.68	2.15	34.42	11.15	8.39
CIR23	LOS	10.40	1.37	5.33	8.41	17.49
CIR24	LOS	17.34	2.82	11.12	8.12	9.25
CIR25	LOS	16.89	2.50	9.23	15.31	12.82
CIR26	LOS	13.12	4.57	27.39	10.01	5.84
CIR27	LOS	13.15	3.74	68.57	6.24	54.76
CIR28	LOS	21.70	2.54	5.31	4.06	59.01
CIR29	LOS	21.31	1.97	6.60	10.87	78.41
CIR30	LOS	21.81	2.87	6.17	18.67	57.68
CIR31	LOS	11.70	4.27	50.35	8.88	9.04
CIR32	LOS	14.13	1.45	8.32	7.74	90.54
CIR33	LOS	14.00	2.04	23.95	3.97	65.28
CIR34	LOS	14.03	2.66	6.27	18.60	86.09
CIR35	LOS	20.75	2.90	49.96	9.62	4.69
CIR36	LOS	5.49	2.90	57.80	8.02	35.50
CIR37	LOS	12.65	4.38	81.88	13.98	11.32
CIR38	LOS	26.37	1.98	34.05	9.07	4.14
CIR39	LOS	20.99	2.55	6.66	5.77	11.43
CIR40	LOS	14.83	2.11	4.50	7.22	79.63
CIR41	LOS	17.70	1.48	43.78	5.90	12.09
CIR42	LOS	19.40	1.62	9.28	10.39	12.01
CIR43	LOS	17.35	1.46	9.77	6.89	68.98
CIR44	LOS	9.03	1.34	5.58	3.45	48.06
CIR45	LOS	17.29	3.31	6.72	9.14	54.83
CIR46	LOS	17.56	4.24	65.45	6.31	13.27
CIR47	LOS	16.68	6.77	84.23	10.58	10.85
CIR48	LOS	23.52	3.94	7.63	7.30	28.63
CIR49	LOS	22.02	2.28	9.28	7.54	66.63
CIR50	LOS	5.59	1.34	6.49	13.50	5.83
CIR51	LOS	17.55	2.14	75.47	7.38	89.39
CIR52	LOS	11.22	2.58	3.12	7.25	29.72
CIR53	LOS	17.40	2.50	6.17	7.59	11.26
CIR54	LOS	12.97	2.18	5.60	8.29	15.02
CIR55	LOS	20.56	1.92	84.32	7.33	10.19
CIR56	LOS	16.36	6.27	10.12	9.97	42.12
CIR57	LOS	19.19	0.89	8.03	2.86	77.73
CIR58	LOS	21.53	5.99	67.94	9.83	5.07
CIR59	LOS	14.21	6.45	89.85	6.11	10.29
CIR60	LOS	12.73	2.19	8.55	13.66	14.63
CIR61	LOS	13.36	0.50	2.14	2.00	7.77
