CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR62	LOS	20.67	1.02	4.09	5.40	2.35
CIR63	LOS	13.29	3.83	70.97	9.29	19.27
CIR64	LOS	11.83	6.37	84.53	7.71	66.73
CIR65	LOS	27.03	1.50	3.68	3.50	6.91
CIR66	LOS	13.97	2.12	8.72	4.39	9.75
CIR67	LOS	19.28	3.88	4.88	5.98	55.82
CIR68	LOS	20.22	2.96	3.77	9.60	11.62
CIR69	LOS	5.12	3.74	77.70	6.63	8.92
CIR70	LOS	13.77	1.45	10.97	13.28	48.24
CIR71	LOS	2.98	1.60	5.81	6.35	15.36
CIR72	LOS	17.88	1.48	5.74	8.68	57.49
CIR73	LOS	18.30	2.45	8.49	10.89	46.28
CIR74	LOS	16.71	2.13	8.06	11.97	6.08
CIR75	LOS	24.84	2.04	53.36	7.69	10.45
CIR76	LOS	27.47	1.32	2.25	7.40	14.61
CIR77	LOS	12.26	1.68	22.28	14.44	47.41
CIR78	LOS	12.05	1.29	6.73	9.54	8.47
CIR79	LOS	15.22	3.90	63.63	9.42	8.94
CIR80	LOS	18.45	6.38	46.97	12.20	45.10
CIR81	LOS	10.01	1.73	5.73	10.10	7.54
CIR82	LOS	19.49	2.16	7.85	6.76	35.71
CIR83	LOS	21.61	4.57	65.98	10.62	39.60
CIR84	LOS	17.42	3.18	79.25	9.53	5.53
CIR85	LOS	21.79	1.79	6.50	11.81	12.53
CIR86	LOS	17.84	5.56	65.04	8.03	48.81
CIR87	LOS	3.51	5.35	81.38	6.65	36.97
CIR88	LOS	17.91	6.73	75.89	7.73	81.19
CIR89	LOS	8.99	1.72	4.86	15.34	83.85
CIR90	LOS	17.60	2.80	78.22	5.58	79.47
CIR91	LOS	7.23	0.55	2.65	15.19	3.29
CIR92	LOS	16.18	1.13	24.04	1.16	3.00
CIR93	LOS	28.81	4.79	63.81	7.41	4.75
CIR94	LOS	19.89	2.10	64.11	7.64	63.38
CIR95	LOS	17.49	4.51	55.14	7.69	59.82
CIR96	LOS	14.91	2.37	9.90	5.86	72.87
CIR97	LOS	17.91	2.68	5.52	5.68	40.39
CIR98	LOS	16.33	4.03	5.09	5.72	10.85
CIR99	LOS	19.54	2.05	7.54	9.86	32.40
CIR100	LOS	16.48	0.97	31.32	3.81	1.77
CIR101	LOS	16.42	2.97	30.58	7.80	15.57
CIR102	LOS	14.62	1.76	6.56	5.00	14.71
CIR103	LOS	10.55	1.34	13.84	7.85	5.77
CIR104	LOS	15.95	1.86	70.36	7.48	7.34
CIR105	LOS	7.04	1.60	5.48	11.52	8.94
CIR106	LOS	20.86	2.07	6.52	26.89	63.89
CIR107	LOS	19.52	5.64	89.20	8.78	12.23
CIR108	LOS	15.55	1.91	10.66	8.29	11.93
CIR109	LOS	21.82	3.55	5.64	8.83	72.66
CIR110	LOS	17.87	7.52	18.97	5.21	9.41
CIR111	LOS	17.72	3.23	49.57	5.64	7.69
CIR112	LOS	22.07	6.15	38.21	11.32	11.22
CIR113	LOS	15.73	1.28	76.01	7.21	85.61
CIR114	LOS	14.81	1.70	3.34	5.96	67.55
CIR115	LOS	24.41	3.33	44.17	12.60	67.01
CIR116	LOS	16.82	3.24	4.74	7.27	7.91
CIR117	LOS	11.35	1.55	7.69	8.73	44.21
CIR118	LOS	20.29	3.65	85.17	5.13	80.08
CIR119	LOS	27.43	1.28	6.92	17.13	7.68
CIR120	LOS	23.72	1.49	26.29	4.70	2.42
CIR121	LOS	14.15	1.93	4.80	12.12	26.01
CIR122	LOS	11.88	2.64	70.73	7.61	80.72
CIR123	LOS	15.73	3.12	90.65	8.48	75.90
CIR124	LOS	10.09	2.27	7.25	14.80	83.07
CIR125	LOS	18.67	2.81	5.79	8.61	45.57
CIR126	LOS	13.98	7.21	77.59	6.96	13.91
CIR127	LOS	14.07	2.38	85.61	8.58	13.64
CIR128	LOS	12.33	4.00	47.15	7.01	11.49
CIR129	LOS	15.39	1.70	5.08	8.03	27.12
CIR130	LOS	14.65	2.46	6.69	14.90	80.74
CIR131	LOS	21.65	1.66	16.44	2.28	12.25
CIR132	LOS	20.86	2.08	6.37	5.55	52.11
CIR133	LOS	14.14	2.11	6.65	7.38	7.10
CIR134	LOS	17.27	0.96	54.46	8.39	13.47
CIR135	LOS	19.74	3.69	25.11	9.90	31.73
CIR136	LOS	10.74	7.24	56.23	8.49	5.26
CIR137	LOS	20.51	4.27	87.19	7.25	78.62
CIR138	LOS	18.85	3.26	37.28	16.14	70.28
CIR139	LOS	9.04	1.66	7.75	7.37	42.83
CIR140	LOS	18.89	5.08	59.64	7.20	48.42
CIR141	LOS	11.65	1.36	58.94	4.32	10.77
CIR142	LOS	14.68	1.62	5.35	4.52	4.03
CIR143	LOS	18.96	2.50	6.85	10.76	7.09
CIR144	LOS	15.76	3.02	7.22	13.03	9.67
CIR145	LOS	17.94	3.16	75.45	10.17	69.34
CIR146	LOS	2.12	1.87	3.14	8.58	3.75
CIR147	LOS	7.73	1.11	4.89	15.29	7.05
CIR148	LOS	9.67	4.95	58.76	8.41	6.82
CIR149	LOS	11.87	1.63	4.77	5.92	39.96
CIR150	LOS	15.95	0.82	11.78	9.10	13.95
CIR151	LOS	8.33	6.91	70.64	16.29	55.31
CIR152	LOS	19.43	4.27	73.54	11.94	70.56
CIR153	LOS	1.63	0.80	6.45	9.45	8.30
CIR154	LOS	11.51	2.04	61.12	11.21	9.97
CIR155	LOS	19.40	1.88	5.75	11.47	69.14
CIR156	LOS	16.90	0.82	2.95	9.09	4.57
CIR157	LOS	9.09	2.74	5.62	16.41	80.54
CIR158	LOS	0.00	0.00	0.00	0.00	0.00
CIR159	LOS	20.11	3.89	41.26	12.88	51.23
CIR160	LOS	19.44	2.23	7.88	9.14	65.57
CIR161	LOS	14.63	1.50	5.46	9.26	62.49
CIR162	LOS	14.81	1.59	70.18	4.73	7.90
CIR163	LOS	20.81	2.17	67.17	13.05	5.60
CIR164	LOS	13.40	2.62	5.96	7.44	3.69
CIR165	LOS	21.99	2.00	86.58	11.29	9.16
CIR166	LOS	23.74	1.94	7.63	17.21	8.41
CIR167	LOS	15.59	5.88	75.00	6.13	8.18
CIR168	LOS	20.76	4.29	75.99	7.07	24.54
CIR169	LOS	20.23	1.93	77.10	8.75	62.82
CIR170	LOS	15.22	2.91	12.20	6.67	9.21
CIR171	LOS	20.22	1.42	6.09	15.39	7.32
CIR172	LOS	12.63	3.82	80.64	7.32	9.00
CIR173	LOS	15.16	1.43	9.12	6.24	22.04
CIR174	LOS	11.08	1.56	3.20	5.51	14.99
CIR175	LOS	12.27	2.86	8.61	7.27	4.81
CIR176	LOS	22.11	1.52	6.25	7.40	10.77
CIR177	LOS	22.65	4.34	42.15	6.18	51.37
CIR178	LOS	14.79	3.55	92.19	9.81	7.88
CIR179	LOS	16.88	2.84	24.62	4.69	86.97
CIR180	LOS	15.70	0.90	3.82	12.54	10.11
CIR181	LOS	11.35	1.23	5.50	4.12	9.78
CIR182	LOS	20.25	8.56	41.74	12.54	60.27
CIR183	LOS	22.18	1.51	33.24	9.11	43.26
CIR184	LOS	15.61	2.16	5.81	23.25	82.02
CIR185	LOS	19.91	0.86	3.95	5.04	55.58
CIR186	LOS	12.35	0.86	4.19	6.88	8.86
CIR187	LOS	10.51	6.43	36.76	4.84	11.78
CIR188	LOS	21.39	1.57	50.51	6.56	43.44
CIR189	LOS	11.58	2.74	14.54	7.24	89.21
CIR190	LOS	19.83	5.38	80.26	6.36	66.80
CIR191	LOS	25.77	2.11	5.87	19.34	47.86
CIR192	LOS	10.34	1.19	68.01	11.36	7.70
CIR193	LOS	13.04	2.80	10.08	13.83	82.53
CIR194	LOS	19.45	8.48	76.09	9.36	8.17
CIR195	LOS	18.17	3.64	67.27	4.95	32.44
CIR196	LOS	17.01	0.93	35.51	4.69	40.74
CIR197	LOS	10.75	2.17	53.02	4.14	69.18
CIR198	LOS	16.93	1.71	5.11	10.26	38.44
CIR199	LOS	22.19	2.24	9.40	10.47	7.63
CIR200	LOS	18.55	1.20	6.10	8.47	4.08
CIR201	LOS	13.04	5.94	22.53	6.73	9.77
CIR202	LOS	22.81	2.10	55.66	7.93	44.08
CIR203	LOS	15.70	5.46	43.62	7.59	5.06
CIR204	LOS	15.16	1.97	8.99	6.66	4.76
CIR205	LOS	11.06	1.44	7.97	14.25	67.19
CIR206	LOS	17.56	6.59	73.58	12.33	73.50
CIR207	LOS	15.97	12.20	76.69	4.98	86.89
CIR208	LOS	13.13	1.66	6.56	4.85	5.83
CIR209	LOS	6.94	2.18	2.25	3.79	8.76
CIR210	LOS	5.83	2.94	8.30	6.56	6.72
CIR211	LOS	19.96	3.54	66.00	10.95	8.61
CIR212	LOS	16.64	1.01	51.76	8.47	63.29
CIR213	LOS	20.37	2.91	73.57	23.39	87.78
CIR214	LOS	10.60	5.71	30.33	5.34	49.71
CIR215	LOS	14.33	2.11	4.38	13.60	71.88
CIR216	LOS	13.14	3.85	6.08	6.80	73.30
CIR217	LOS	17.12	2.89	21.04	2.78	13.14
CIR218	LOS	18.66	2.50	48.81	9.79	69.64
CIR219	LOS	17.20	4.31	64.63	7.71	65.39
CIR220	LOS	13.87	2.20	76.40	10.44	7.63
CIR221	LOS	17.51	1.03	41.34	12.84	5.79
CIR222	LOS	13.82	3.42	44.61	4.38	17.73
CIR223	LOS	2.79	2.82	32.33	3.59	6.46
CIR224	LOS	12.58	3.57	30.52	9.93	32.93
CIR225	LOS	15.46	1.69	7.19	7.12	7.15
CIR226	LOS	3.88	2.11	6.93	6.17	91.09
CIR227	LOS	14.28	1.61	33.47	11.67	10.38
CIR228	LOS	15.44	2.69	70.91	11.97	56.68
CIR229	LOS	17.58	2.85	77.06	9.87	82.90
CIR230	LOS	17.52	3.42	50.39	14.11	52.42
CIR231	LOS	2.54	2.87	57.01	5.70	2.35
CIR232	LOS	18.77	3.01	3.14	5.37	35.15
CIR233	LOS	6.16	1.66	44.62	10.11	5.94
CIR234	LOS	19.24	1.88	8.34	19.93	85.53
CIR235	LOS	18.56	4.42	77.01	9.92	6.02
CIR236	LOS	12.01	2.01	8.66	5.44	56.48
CIR237	LOS	20.06	2.51	6.33	15.46	78.18
CIR238	LOS	24.32	2.14	10.56	7.12	12.04
CIR239	LOS	17.33	2.59	39.66	9.87	9.29
CIR240	LOS	19.99	2.54	69.94	8.23	68.49
CIR241	LOS	16.10	1.50	4.56	7.00	68.19
CIR242	LOS	16.42	2.36	61.76	15.96	66.24
CIR243	LOS	8.81	1.48	3.41	6.14	5.29
CIR244	LOS	14.85	1.10	9.34	1.97	1.68
CIR245	LOS	11.55	4.97	43.16	6.54	80.30
CIR246	LOS	16.21	3.46	43.59	8.79	19.82
CIR247	LOS	13.22	2.65	71.65	12.29	4.83
CIR248	LOS	22.26	5.35	45.67	9.14	8.06
CIR249	LOS	12.82	8.42	40.96	13.74	66.49
CIR250	LOS	1.15	0.01	0.03	0.05	0.33
CIR251	LOS	25.70	1.39	4.55	8.34	59.99
CIR252	LOS	20.33	1.07	4.25	7.14	67.59
CIR253	LOS	23.01	1.74	4.36	26.30	7.67
CIR254	LOS	10.44	2.63	9.33	8.02	11.56
CIR255	LOS	10.22	3.82	83.93	3.97	13.52
CIR256	LOS	7.82	3.59	11.01	5.80	75.23
CIR257	LOS	19.79	5.93	52.93	3.27	43.40
CIR258	LOS	20.56	3.24	58.27	7.87	10.81
CIR259	LOS	14.61	2.17	9.62	2.77	64.56
CIR260	LOS	18.03	6.91	56.32	5.76	6.96
CIR261	LOS	18.21	5.89	52.09	12.99	10.90
CIR262	LOS	25.51	2.42	5.25	10.48	35.43
CIR263	LOS	15.06	2.85	65.67	6.16	57.95
CIR264	LOS	18.22	0.81	5.76	4.90	5.07
CIR265	LOS	8.22	2.19	6.11	6.42	8.31
CIR266	LOS	15.17	2.01	5.02	22.83	37.09
CIR267	LOS	19.46	1.99	5.32	6.40	86.34
CIR268	LOS	22.10	6.56	75.93	10.57	9.13
CIR269	LOS	11.19	2.30	88.43	4.06	66.69
CIR270	LOS	6.68	0.63	2.64	7.30	7.91
CIR271	LOS	8.56	3.49	36.23	2.84	5.40
CIR272	LOS	15.95	2.15	5.67	6.16	82.25
CIR273	LOS	5.50	2.31	81.08	4.09	5.52
CIR274	LOS	10.61	5.93	61.14	7.63	4.52
CIR275	LOS	20.21	4.29	3.54	12.07	7.80
CIR276	LOS	20.21	4.38	56.38	13.32	19.72
CIR277	LOS	13.66	2.90	4.53	11.16	62.75
CIR278	LOS	15.64	2.21	4.85	11.12	6.47
CIR279	LOS	1.79	1.07	3.39	10.58	54.29
CIR280	LOS	6.15	0.95	5.81	4.45	58.73
CIR281	LOS	2.47	1.78	48.36	6.88	71.25
CIR282	LOS	12.85	0.78	30.81	21.85	11.74
CIR283	LOS	11.81	1.18	6.83	5.24	6.84
CIR284	LOS	19.11	1.61	5.44	6.90	10.45
CIR285	LOS	12.46	0.98	72.19	5.88	37.32
CIR286	LOS	10.04	1.84	90.57	10.89	33.40
CIR287	LOS	7.29	1.56	5.60	4.36	4.65
CIR288	LOS	21.01	1.72	13.24	8.86	73.95
CIR289	LOS	20.12	3.12	66.57	18.20	7.11
CIR290	LOS	16.51	7.82	63.32	7.87	77.05
CIR291	LOS	19.85	2.24	19.29	5.28	69.53
CIR292	LOS	16.53	4.12	70.48	13.97	10.93
CIR293	LOS	26.00	4.07	80.47	11.01	6.93
CIR294	LOS	12.59	6.67	65.03	4.75	82.47
CIR295	LOS	13.77	4.68	58.64	7.25	5.77
CIR296	LOS	16.02	2.66	10.34	12.90	8.90
CIR297	LOS	21.03	1.31	31.51	12.74	36.91
CIR298	LOS	17.47	2.30	36.19	20.15	30.67
CIR299	LOS	13.70	1.29	32.27	10.89	40.65
CIR300	LOS	21.46	3.60	51.50	9.94	15.53
