CIR#	Environment	RMS DS (ns)	ZSD (deg)	ASD (deg)	ZSA (deg)	ASA (deg)
CIR1	LOS	12.97	4.06	71.00	10.07	6.81
CIR2	LOS	22.04	2.30	7.52	8.03	75.56
CIR3	LOS	14.98	1.81	6.70	6.08	61.33
CIR4	LOS	16.92	1.78	14.24	19.51	11.53
CIR5	LOS	9.98	1.68	7.00	18.48	5.04
CIR6	LOS	15.50	4.02	56.11	7.39	10.47
CIR7	LOS	17.37	1.74	31.96	7.36	77.06
CIR8	LOS	8.20	1.33	39.59	7.74	3.63
CIR9	LOS	22.27	4.20	32.53	9.47	6.44
CIR10	LOS	3.10	1.70	9.18	16.68	6.55
